Experiment,Model,Model_Key,SNR(dB),RMSE,SNR,Time
comparative,DW-CNN,DW_CNN,0.0,0.35319683,4.9992456,2025-12-02_02:42
comparative,DAN,DNN_DAN,0.0,0.20469992,9.939761,2025-12-02_02:42
comparative,FCN,FCN,0.0,0.20895414,9.661337,2025-12-02_02:46
comparative,DW-CNN,DW_CNN,1.25,0.24786042,7.879131,2025-12-02_02:46
comparative,DAN,DNN_DAN,1.25,0.19439448,10.3672495,2025-12-02_02:48
comparative,FCN,FCN,1.25,0.19403318,10.290731,2025-12-02_02:51
comparative,DW-CNN,DW_CNN,5.0,0.20139663,9.715953,2025-12-02_02:51
comparative,DAN,DNN_DAN,5.0,0.16139701,11.842782,2025-12-02_02:52
comparative,FCN,FCN,5.0,0.17155132,11.206456,2025-12-02_02:55
